City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Yining,CN,71.8,few clouds,29.0361,114.5636,Xiushui Hotel
1,Rikitea,PF,67.03,moderate rain,-23.1203,-134.9692,People ThankYou
5,Honiara,SB,76.59,light rain,-9.4333,159.95,Heritage Park Hotel
6,Cape Town,ZA,72.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
7,Alice Springs,AU,67.55,light intensity shower rain,-23.7,133.8833,Desert Palms Alice Springs
12,Hilo,US,74.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
18,Angoche,MZ,77.79,broken clouds,-16.2325,39.9086,Guest House HESADA
20,Kurchum,KZ,66.25,overcast clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
21,Port-Gentil,GA,78.06,broken clouds,-0.7193,8.7815,Fengshui Residence
23,Bethel,US,71.96,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
29,Ramotswa,BW,79.34,clear sky,-24.8716,25.8699,Nako Guest House @ Ramotswa
32,Labuan,MY,78.96,broken clouds,5.2767,115.2417,Tiara Labuan Hotel
35,Ambulu,ID,75.52,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
37,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
43,Mackay,AU,65.05,few clouds,-21.15,149.2,International Lodge Motel
47,Hamilton,US,81.0,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
48,Hermanus,ZA,70.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
49,Arraial Do Cabo,BR,75.06,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
50,Kawalu,ID,71.89,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
51,Saint-Philippe,RE,74.79,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
52,Ponta Do Sol,PT,82.13,few clouds,32.6667,-17.1,Hotel do Campo
53,Hithadhoo,MV,83.05,overcast clouds,-0.6,73.0833,Scoop Guest House
55,Guerrero Negro,MX,70.88,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
63,Lorengau,PG,81.68,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
67,Sinnamary,GF,84.27,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
70,Ribeira Grande,PT,73.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
71,Jamestown,US,75.52,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
72,San Ramon De La Nueva Oran,AR,78.42,clear sky,-23.1322,-64.326,Hotel Residencial Centro
73,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
75,Tamandare,BR,80.28,few clouds,-8.7597,-35.1047,Pousada 100 Passos
77,Hasaki,JP,73.8,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
80,Asau,RO,71.76,light rain,46.4333,26.4,Casa Mika Ciobanus
81,San Marcos,US,66.02,overcast clouds,33.1434,-117.1661,Hampton Inn San Marcos
82,Pisco,PE,65.01,smoke,-13.7,-76.2167,Hotel San Isidro Oficial
84,Sukumo,JP,76.78,overcast clouds,32.9333,132.7333,Sukumojo
85,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
89,Sola,VU,78.84,few clouds,-13.8833,167.55,Leumerus Bungalows
91,Mulatupo,PA,82.63,overcast clouds,8.9492,-77.7652,Hostal Nuevo Sasardí
92,Chenghai,CN,81.88,light rain,23.4632,116.768,Guangdong Hotel
97,Kapit,MY,73.51,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
98,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
