City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yining,CN,29.0361,114.5636,71.8,82,24,2.08,few clouds
1,Rikitea,PF,-23.1203,-134.9692,67.03,88,100,8.99,moderate rain
2,Ushuaia,AR,-54.8,-68.3,40.62,75,75,2.3,broken clouds
3,Mar Del Plata,AR,-38.0023,-57.5575,62.01,60,0,15.5,clear sky
4,Barrow,US,71.2906,-156.7887,35.62,87,90,13.8,drizzle
5,Honiara,SB,-9.4333,159.95,76.59,89,62,6.29,light rain
6,Cape Town,ZA,-33.9258,18.4232,72.12,68,0,3.0,clear sky
7,Alice Springs,AU,-23.7,133.8833,67.55,94,90,10.36,light intensity shower rain
8,Yellowknife,CA,62.456,-114.3525,39.47,73,90,8.16,overcast clouds
9,Saskylakh,RU,71.9167,114.0833,30.42,91,97,11.41,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,39.31,87,90,6.91,overcast clouds
11,New Norfolk,AU,-42.7826,147.0587,51.75,72,100,1.74,light rain
12,Hilo,US,19.7297,-155.09,74.28,93,90,6.91,light rain
13,Wajir,KE,1.7471,40.0573,93.36,27,11,14.32,few clouds
14,Mataura,NZ,-46.1927,168.8643,32.49,96,10,2.95,clear sky
15,Dikson,RU,73.5069,80.5464,35.37,64,100,18.19,overcast clouds
16,Beringovskiy,RU,63.05,179.3167,38.07,59,43,7.52,scattered clouds
17,Saldanha,ZA,-33.0117,17.9442,64.54,59,0,14.38,clear sky
18,Angoche,MZ,-16.2325,39.9086,77.79,79,61,14.7,broken clouds
19,Trinidad,BO,-14.8333,-64.9,98.71,24,9,2.37,clear sky
20,Kurchum,KZ,48.5722,83.6542,66.25,26,86,8.57,overcast clouds
21,Port-Gentil,GA,-0.7193,8.7815,78.06,81,81,14.25,broken clouds
22,Ahipara,NZ,-35.1667,173.1667,51.57,79,31,10.04,scattered clouds
23,Bethel,US,41.3712,-73.414,71.96,90,90,1.01,overcast clouds
24,Olafsvik,IS,64.8945,-23.7142,45.57,67,100,13.56,overcast clouds
25,Batagay-Alyta,RU,67.8006,130.4114,35.96,99,100,6.78,light rain
26,Kautokeino,NO,69.0125,23.0412,41.27,78,100,16.13,overcast clouds
27,Nikolskoye,RU,59.7035,30.7861,48.09,64,33,7.45,scattered clouds
28,Albany,US,42.6001,-73.9662,73.36,83,47,7.0,scattered clouds
29,Ramotswa,BW,-24.8716,25.8699,79.34,7,1,4.41,clear sky
30,Bredasdorp,ZA,-34.5322,20.0403,62.28,65,0,16.04,clear sky
31,West Bay,KY,19.3667,-81.4167,89.67,69,20,4.0,few clouds
32,Labuan,MY,5.2767,115.2417,78.96,72,78,2.91,broken clouds
33,Pacific Grove,US,36.6177,-121.9166,57.58,87,90,3.0,overcast clouds
34,Chara,RU,56.9064,118.2631,34.21,72,84,3.38,broken clouds
35,Ambulu,ID,-8.345,113.6058,75.52,89,59,4.41,broken clouds
36,Cidreira,BR,-30.1811,-50.2056,62.71,88,83,17.02,broken clouds
37,Komsomolskiy,UZ,40.4272,71.7189,77.72,25,0,4.61,clear sky
38,Busselton,AU,-33.65,115.3333,50.04,69,99,11.81,overcast clouds
39,Khatanga,RU,71.9667,102.5,28.33,89,21,7.87,few clouds
40,Klaksvik,FO,62.2266,-6.589,54.52,99,100,16.22,overcast clouds
41,Lahij,YE,13.1667,44.5833,96.8,31,19,10.87,few clouds
42,Port Alfred,ZA,-33.5906,26.891,60.31,59,33,12.08,scattered clouds
43,Mackay,AU,-21.15,149.2,65.05,75,12,9.37,few clouds
44,Zyryanka,RU,65.75,150.85,45.3,67,32,8.21,scattered clouds
45,Thunder Bay,CA,48.4001,-89.3168,58.98,93,100,12.01,overcast clouds
46,Port Elizabeth,ZA,-33.918,25.5701,62.1,60,40,9.53,scattered clouds
47,Hamilton,US,39.1834,-84.5333,81.0,81,1,1.01,clear sky
48,Hermanus,ZA,-34.4187,19.2345,70.9,63,0,21.25,clear sky
49,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,64,75,14.97,broken clouds
50,Kawalu,ID,-7.3817,108.2082,71.89,97,65,1.66,broken clouds
51,Saint-Philippe,RE,-21.3585,55.7679,74.79,77,18,8.19,few clouds
52,Ponta Do Sol,PT,32.6667,-17.1,82.13,60,23,3.56,few clouds
53,Hithadhoo,MV,-0.6,73.0833,83.05,73,100,4.99,overcast clouds
54,Qaanaaq,GL,77.484,-69.3632,12.78,68,8,7.36,clear sky
55,Guerrero Negro,MX,27.9769,-114.0611,70.88,76,84,14.99,broken clouds
56,Maarianhamina,AX,60.0973,19.9348,49.86,66,90,8.05,overcast clouds
57,Nanortalik,GL,60.1432,-45.2371,39.9,86,68,12.73,broken clouds
58,Thompson,CA,55.7435,-97.8558,46.56,87,75,10.36,broken clouds
59,Sitka,US,57.0531,-135.33,51.69,62,90,17.27,light rain
60,Nova Vcelnice,CZ,49.2393,15.0726,61.56,77,97,10.29,overcast clouds
61,Guasdualito,VE,7.2424,-70.7324,86.59,63,9,1.16,clear sky
62,Lakes Entrance,AU,-37.8811,147.981,62.17,66,99,8.95,overcast clouds
63,Lorengau,PG,-2.0226,147.2712,81.68,76,10,9.51,clear sky
64,Hobart,AU,-42.8794,147.3294,53.46,82,90,10.36,light rain
65,Guantanamo,CU,20.1444,-75.2092,92.77,54,75,5.32,broken clouds
66,Iqaluit,CA,63.7506,-68.5145,35.33,87,90,16.11,light rain and snow
67,Sinnamary,GF,5.3833,-52.95,84.27,73,6,7.47,clear sky
68,Urengoy,RU,65.9667,78.3667,42.28,95,100,20.71,moderate rain
69,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,16.11,scattered clouds
70,Ribeira Grande,PT,38.5167,-28.7,73.8,83,40,12.66,scattered clouds
71,Jamestown,US,42.097,-79.2353,75.52,78,27,7.0,scattered clouds
72,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,78.42,24,10,3.24,clear sky
73,Vaini,TO,-21.2,-175.2,71.76,100,20,2.3,few clouds
74,Lompoc,US,34.6391,-120.4579,58.68,88,90,3.44,mist
75,Tamandare,BR,-8.7597,-35.1047,80.28,71,16,12.12,few clouds
76,Clyde River,CA,70.4692,-68.5914,30.87,66,89,1.74,overcast clouds
77,Hasaki,JP,35.7333,140.8333,73.8,70,96,20.24,overcast clouds
78,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,76,75,23.02,broken clouds
79,Ilulissat,GL,69.2167,-51.1,26.62,50,1,6.91,clear sky
80,Asau,RO,46.4333,26.4,71.76,80,100,4.94,light rain
81,San Marcos,US,33.1434,-117.1661,66.02,84,90,1.01,overcast clouds
82,Pisco,PE,-13.7,-76.2167,65.01,77,40,6.91,smoke
83,Itarema,BR,-2.9248,-39.9167,89.2,49,4,19.77,clear sky
84,Sukumo,JP,32.9333,132.7333,76.78,93,100,19.82,overcast clouds
85,Avarua,CK,-21.2078,-159.775,73.45,78,40,16.11,scattered clouds
86,Esperance,AU,-33.8667,121.9,51.1,74,40,10.85,light rain
87,Kaitangata,NZ,-46.2817,169.8464,34.43,83,31,5.23,scattered clouds
88,Castro,BR,-24.7911,-50.0119,57.78,96,100,7.45,overcast clouds
89,Sola,VU,-13.8833,167.55,78.84,81,14,14.85,few clouds
90,Pangnirtung,CA,66.1451,-65.7125,35.53,69,99,2.68,overcast clouds
91,Mulatupo,PA,8.9492,-77.7652,82.63,79,100,1.48,overcast clouds
92,Chenghai,CN,23.4632,116.768,81.88,80,2,7.49,light rain
93,San Joaquin,US,37.9333,-121.3011,61.68,90,1,4.61,clear sky
94,Seminole,US,28.7086,-81.2081,86.43,80,75,1.01,broken clouds
95,Rutul,RU,41.5357,47.4239,54.5,93,60,4.12,broken clouds
96,La Ronge,CA,55.1001,-105.2842,43.05,93,90,3.44,overcast clouds
97,Kapit,MY,2.0167,112.9333,73.51,99,82,1.21,broken clouds
98,Kapaa,US,22.0752,-159.319,79.12,89,40,13.8,scattered clouds
99,Port Lincoln,AU,-34.7333,135.8667,55.4,53,59,21.85,broken clouds
100,Aksarka,RU,66.5606,67.7975,38.07,96,100,27.02,light rain
101,Tuktoyaktuk,CA,69.4541,-133.0374,41.77,83,100,12.39,overcast clouds
102,Havelock,US,34.8791,-76.9013,82.36,86,90,3.0,overcast clouds
103,Robat Karim,IR,35.4846,51.0829,93.06,7,0,9.01,clear sky
104,Correntina,BR,-13.3433,-44.6367,89.31,20,0,9.04,clear sky
105,Butaritari,KI,3.0707,172.7902,82.2,70,77,14.92,broken clouds
106,Jumla,NP,29.2747,82.1838,60.75,93,82,0.65,broken clouds
107,Stromness,GB,58.965,-3.296,61.05,87,100,17.0,overcast clouds
108,Chokurdakh,RU,70.6333,147.9167,33.35,97,100,10.27,overcast clouds
109,Prachuap Khiri Khan,TH,12.2167,99.75,73.42,92,86,3.27,light rain
110,Matagami,CA,49.7502,-77.6328,67.28,62,82,14.99,broken clouds
111,Salalah,OM,17.0151,54.0924,80.69,89,90,10.36,overcast clouds
112,Souillac,MU,-20.5167,57.5167,73.36,80,41,8.48,scattered clouds
